N,P,K,temperature,humidity,ph,rainfall,moisture,Organic_Carbon,Electrical_Conductivity,Soil_Type,Recommended_Fertilizer
76,23,97,28.41,56.71,5.95,1120.56,42.22,0.43,0.1,Sandy,DAP
158,31,63,19.09,85.16,7.06,1486.35,28.59,0.98,1.78,Clay,DAP
90,26,29,29.6,33.13,8.11,1887.26,40.9,1.12,2.61,Sandy,DAP
140,38,12,14.94,75.38,5.16,2447.76,38.77,0.71,0.74,Clay,DAP
155,47,78,29.57,42.48,6.03,2935.42,29.71,0.25,1.07,Silt,MOP
127,40,12,12.43,59.72,5.06,430.17,25.33,1.38,1.8,Loamy,MOP
57,67,49,22.01,81.09,7.0,1996.6,30.35,1.15,0.82,Sandy,Urea
98,26,69,28.29,49.78,7.42,577.6,38.7,0.55,2.56,Loamy,DAP
69,32,79,35.66,83.98,8.23,1039.64,31.41,0.85,1.16,Loamy,DAP
108,29,88,34.37,57.04,5.62,2361.73,23.18,0.24,1.79,Silt,DAP
83,85,79,25.81,72.17,8.3,2983.48,48.05,0.64,0.76,Loamy,Zinc Sulphate
144,13,32,36.5,73.36,4.75,1674.14,36.57,0.88,0.22,Clay,DAP
149,82,69,25.18,45.65,6.91,1188.73,13.38,0.87,0.6,Loamy,SSP
159,84,39,25.52,84.04,4.73,799.47,28.42,0.47,0.23,Loamy,MOP
100,58,48,31.62,37.48,8.08,2391.09,54.25,1.21,1.46,Loamy,Zinc Sulphate
97,35,49,36.33,65.4,6.62,2730.41,47.76,0.59,1.8,Sandy,DAP
29,41,57,28.08,85.74,7.18,2576.02,26.16,0.95,0.23,Sandy,Urea
63,37,94,38.33,31.86,7.83,1627.14,56.91,0.55,0.36,Clay,DAP
59,60,54,16.98,61.88,5.1,1849.66,13.83,0.75,1.51,Clay,Urea
128,49,46,37.73,44.79,4.65,2542.54,58.06,0.47,2.42,Sandy,Compost
89,46,31,16.65,41.55,8.02,2800.79,22.29,1.02,1.92,Clay,MOP
50,60,61,25.79,44.03,5.76,2829.22,10.45,0.75,0.4,Sandy,Urea
56,66,11,33.88,84.16,5.02,2131.38,31.69,0.22,2.67,Silt,Urea
128,89,23,34.05,55.53,6.37,736.71,27.95,0.24,2.76,Loamy,MOP
116,81,27,18.34,44.15,6.89,1076.37,36.95,0.81,1.04,Loamy,MOP
90,76,59,39.58,85.65,4.62,945.43,49.84,0.44,1.89,Clay,Compost
57,12,24,12.42,49.3,5.6,685.73,52.12,0.96,1.53,Sandy,Urea
27,83,46,11.04,73.41,4.63,902.13,30.06,0.73,2.83,Sandy,Urea
53,72,11,35.25,62.23,6.18,2635.64,31.49,1.05,1.58,Clay,Urea
36,21,116,34.57,70.75,8.08,2356.94,17.41,1.44,2.88,Sandy,Urea
113,88,93,31.38,40.96,8.43,322.46,12.38,0.89,0.68,Silt,Zinc Sulphate
101,60,83,35.52,70.71,7.05,613.57,42.06,1.22,1.1,Loamy,NPK
72,20,78,14.13,84.35,5.15,2957.51,13.22,1.18,2.37,Clay,DAP
83,15,41,12.87,36.05,8.12,832.72,46.69,1.4,2.37,Clay,DAP
128,21,75,39.08,49.59,6.56,1976.3,36.95,0.48,2.22,Sandy,DAP
76,34,117,28.73,88.36,5.11,775.57,19.93,1.28,2.59,Clay,DAP
80,35,66,37.6,43.51,8.19,854.28,36.98,1.38,2.14,Silt,DAP
44,67,70,37.19,33.57,7.53,1595.86,19.15,0.71,1.94,Sandy,Urea
97,89,14,29.59,33.3,7.43,1565.46,31.94,0.61,1.43,Sandy,MOP
46,45,94,28.85,46.52,7.34,2009.28,49.98,1.44,1.45,Sandy,Urea
118,45,27,20.8,59.69,5.3,670.97,33.1,1.02,1.28,Sandy,MOP
47,30,57,14.47,46.13,5.34,935.6,17.43,0.69,1.9,Silt,Urea
153,58,49,30.6,46.85,7.25,1947.61,46.19,1.23,1.28,Sandy,Compost
60,69,77,34.54,79.89,5.38,472.73,19.34,0.6,0.53,Clay,Compost
78,71,105,26.34,76.02,6.25,2746.11,46.93,0.43,0.41,Silt,MOP
97,28,109,11.53,48.65,7.63,700.64,33.97,0.91,2.78,Loamy,DAP
68,20,65,14.35,50.69,7.64,1427.51,32.69,0.94,0.17,Loamy,DAP
127,87,13,13.06,88.18,6.31,504.22,52.57,1.27,0.41,Clay,MOP
119,89,26,29.73,87.01,7.67,2117.54,45.43,0.79,1.39,Clay,MOP
24,12,61,26.94,88.39,7.85,1115.38,11.65,1.26,0.86,Silt,Urea
30,66,72,24.0,86.35,7.12,406.19,24.81,0.6,1.28,Loamy,Urea
105,78,51,26.3,67.69,5.41,1859.38,53.55,0.95,0.44,Loamy,Compost
59,62,42,18.28,48.5,5.6,2945.87,10.92,0.47,0.48,Loamy,Urea
133,75,95,34.14,88.17,5.76,2638.49,37.26,0.7,2.42,Loamy,MOP
89,21,27,19.86,74.57,4.97,2168.1,46.39,1.31,2.3,Loamy,DAP
89,71,36,29.33,72.67,5.59,235.42,41.09,0.48,0.4,Sandy,MOP
129,54,88,21.73,77.86,5.34,2607.62,48.03,1.25,2.04,Clay,Compost
39,66,70,12.16,65.91,6.32,2710.85,46.28,0.57,1.87,Sandy,Urea
151,11,34,17.71,65.0,8.13,306.39,44.6,0.24,2.17,Loamy,DAP
32,64,70,38.95,51.68,4.92,542.68,51.08,0.34,1.48,Silt,Urea
68,28,19,15.72,39.04,7.38,1464.1,42.28,1.17,0.88,Silt,DAP
95,70,89,13.15,56.31,7.25,1325.78,30.12,0.54,2.02,Loamy,DAP
28,33,13,18.73,61.04,4.88,1024.38,33.6,1.05,1.18,Loamy,Urea
78,14,40,36.34,82.67,8.19,754.17,45.84,1.11,0.73,Silt,DAP
135,35,41,19.18,54.1,6.77,1737.5,53.82,0.65,1.29,Sandy,DAP
22,44,33,22.52,82.98,5.95,2359.7,23.61,0.82,2.31,Sandy,Urea
30,28,68,19.3,49.05,7.53,2823.71,27.1,0.72,1.48,Loamy,Urea
24,40,27,39.67,86.68,5.53,1043.08,56.54,1.43,0.97,Sandy,Urea
132,53,105,40.0,32.34,7.27,2169.05,38.93,0.62,2.51,Silt,Compost
101,28,101,24.48,61.52,4.66,2406.93,18.95,0.44,2.66,Sandy,DAP
144,21,84,33.54,49.3,7.86,1538.29,43.18,0.68,1.36,Loamy,DAP
153,44,81,16.6,47.66,6.29,2779.07,59.54,1.07,1.19,Silt,SSP
105,67,74,21.23,34.76,7.05,264.34,51.17,1.11,1.88,Sandy,DAP
61,81,11,30.38,70.88,5.38,2721.35,47.29,1.4,0.27,Clay,MOP
62,34,30,18.59,53.55,7.21,2699.01,20.4,1.35,2.1,Silt,DAP
44,34,92,16.74,86.94,7.59,583.6,53.81,0.57,2.37,Silt,Urea
37,22,51,37.67,72.75,6.39,1430.38,36.29,0.79,1.25,Clay,Urea
125,51,103,17.33,56.57,6.97,1644.41,54.46,1.17,0.61,Clay,NPK
20,24,113,11.78,67.64,6.33,1325.53,26.49,1.39,0.18,Silt,Urea
34,32,34,32.53,33.96,8.08,2707.56,13.1,0.64,1.95,Clay,Urea
53,37,62,17.3,65.35,6.49,2196.36,33.8,0.78,0.88,Loamy,Urea
21,22,18,23.51,69.97,7.87,545.8,23.49,1.37,1.45,Loamy,Urea
129,84,51,13.35,36.37,7.71,2794.22,45.76,0.67,1.22,Loamy,Compost
70,53,37,12.06,70.95,6.14,329.28,57.86,0.82,0.61,Silt,MOP
65,87,46,23.81,58.44,5.42,1867.87,44.55,1.38,1.57,Clay,Compost
116,61,70,20.11,58.78,6.12,1663.53,54.35,1.24,1.43,Clay,NPK
125,44,68,25.18,73.41,7.8,402.74,32.65,0.52,1.91,Sandy,MOP
33,56,41,38.97,56.99,5.41,2148.36,48.58,0.62,0.83,Sandy,Urea
36,44,50,22.22,44.06,6.6,2895.18,52.15,0.66,0.72,Clay,Urea
141,59,84,28.08,47.9,7.72,1483.65,45.54,1.39,2.46,Clay,NPK
126,49,94,12.93,74.3,5.91,1638.92,35.39,1.5,2.14,Clay,NPK
31,86,33,36.58,34.26,7.07,1274.87,41.29,1.21,2.34,Silt,Urea
150,79,74,34.18,80.45,5.48,2650.6,45.03,0.83,0.46,Clay,Compost
94,51,89,25.67,64.93,4.94,2797.83,22.65,0.21,0.75,Sandy,Compost
62,24,97,15.5,73.62,7.68,1311.84,50.48,1.11,1.77,Silt,DAP
152,69,19,22.78,50.62,4.9,2694.45,57.52,0.71,2.59,Clay,MOP
46,67,105,18.92,43.36,5.59,772.24,33.26,1.02,2.69,Sandy,Urea
146,78,101,39.84,78.27,7.92,1482.06,45.05,0.99,2.51,Silt,Zinc Sulphate
75,42,59,24.73,36.13,5.89,905.37,46.85,0.83,0.23,Clay,NPK
123,49,106,22.67,39.95,8.39,826.93,43.11,1.43,2.48,Clay,Zinc Sulphate
99,11,72,15.07,47.1,8.42,2599.6,37.36,0.23,2.71,Clay,DAP
87,42,111,17.17,51.07,5.57,2199.84,54.08,1.13,0.26,Silt,DAP
110,34,95,31.35,42.22,4.66,387.35,32.45,0.73,1.31,Sandy,DAP
34,68,74,26.05,84.76,7.32,2320.76,13.06,1.13,1.66,Sandy,Urea
45,36,108,20.74,31.63,6.3,1804.2,52.23,1.08,0.77,Loamy,Urea
29,65,67,18.91,78.21,4.9,2403.52,43.7,0.21,1.6,Clay,Urea
117,34,118,16.02,54.66,7.33,1861.33,52.46,0.57,2.67,Loamy,DAP
121,14,85,11.02,80.17,4.62,1256.73,16.93,0.45,2.61,Loamy,DAP
155,71,55,39.31,77.76,7.98,1585.94,11.54,0.42,2.83,Sandy,Zinc Sulphate
99,52,98,32.59,37.26,5.05,596.55,56.72,1.15,1.5,Silt,Compost
51,77,37,37.84,69.98,5.01,1069.7,17.39,0.51,1.29,Silt,Urea
40,87,90,22.38,52.71,5.2,262.53,50.48,0.82,2.03,Sandy,Urea
115,45,89,36.08,79.26,8.34,1337.44,51.16,0.52,1.31,Silt,Zinc Sulphate
64,19,105,17.69,81.06,7.27,455.47,45.44,0.95,0.22,Loamy,DAP
31,31,68,25.3,41.34,7.71,2049.73,16.56,1.14,2.19,Clay,Urea
122,37,118,16.07,58.72,6.09,2755.12,43.37,0.63,0.91,Sandy,DAP
93,57,13,33.11,65.66,5.85,2273.89,54.45,0.98,0.24,Clay,MOP
89,69,50,24.93,62.64,5.44,780.81,31.28,1.27,0.16,Silt,Compost
56,72,69,26.09,45.11,6.42,1619.83,30.68,0.32,2.8,Clay,Urea
131,11,71,35.78,46.35,6.71,2193.51,32.14,1.12,0.83,Silt,DAP
150,32,20,32.18,81.49,7.03,2455.95,14.11,0.62,1.4,Silt,DAP
88,60,29,38.99,31.96,5.53,992.43,54.6,0.36,2.86,Loamy,MOP
117,89,99,22.16,45.74,8.29,1535.82,53.46,0.91,1.46,Silt,Zinc Sulphate
52,37,16,23.84,43.38,5.18,492.15,59.9,0.49,0.33,Loamy,Urea
55,87,104,28.46,52.24,8.36,2233.81,39.26,1.27,1.7,Loamy,Urea
22,10,71,23.6,71.17,4.56,1417.27,47.56,0.26,0.36,Loamy,Urea
150,24,16,22.59,61.94,6.42,316.74,20.13,0.33,0.38,Sandy,DAP
125,24,73,20.22,62.44,5.83,1682.38,43.38,0.88,2.57,Sandy,DAP
47,52,67,34.96,73.88,6.3,2415.89,42.49,0.97,0.94,Silt,Urea
156,14,13,26.0,78.73,6.78,324.42,55.06,1.15,2.07,Loamy,DAP
45,81,81,28.22,39.59,6.24,1329.31,51.54,0.54,1.58,Sandy,Urea
29,47,23,16.12,36.48,6.16,1549.23,56.92,1.29,0.74,Loamy,Urea
128,72,95,17.55,48.07,7.43,2998.74,53.44,1.44,1.6,Clay,Compost
81,52,32,20.19,79.65,7.24,812.4,53.43,0.85,0.3,Clay,MOP
115,60,98,23.96,62.5,7.83,2493.64,13.19,1.19,1.11,Clay,Zinc Sulphate
105,87,45,11.32,38.57,5.5,608.58,52.3,0.88,1.62,Silt,MOP
68,35,99,36.65,39.82,6.94,2899.21,40.37,0.29,0.76,Loamy,DAP
24,55,33,37.11,83.9,6.84,1058.77,29.02,0.62,2.01,Clay,Urea
92,21,91,29.85,52.02,5.98,607.58,12.83,0.31,0.25,Sandy,DAP
63,21,30,19.48,45.32,6.44,1268.91,43.88,1.49,1.51,Clay,DAP
140,38,72,21.56,71.62,5.76,242.6,26.41,0.5,2.17,Clay,DAP
26,70,56,32.02,81.65,5.07,504.83,33.39,1.03,1.35,Clay,Urea
39,50,78,18.59,56.54,5.36,1589.22,44.09,0.57,2.64,Silt,Urea
127,29,24,28.27,77.47,4.92,2833.75,55.59,1.05,1.93,Sandy,DAP
83,55,40,37.19,55.8,7.23,1445.79,51.27,0.47,2.88,Loamy,NPK
62,39,99,22.31,71.49,7.14,2048.64,32.53,1.22,0.92,Sandy,DAP
63,48,13,27.61,64.49,8.3,2179.81,29.39,0.34,2.82,Loamy,MOP
36,49,13,37.86,83.67,7.42,302.37,21.99,1.36,1.86,Silt,Urea
58,60,53,20.22,49.5,4.71,1101.83,28.62,1.29,2.26,Silt,Urea
118,11,70,32.79,76.23,8.04,2991.73,15.55,1.08,2.72,Silt,DAP
58,74,72,32.65,71.04,7.95,219.62,58.56,0.29,1.7,Silt,Urea
58,37,92,37.85,80.33,6.27,1516.48,38.7,0.47,2.6,Loamy,Urea
35,60,35,35.76,66.45,6.84,2544.85,16.39,1.32,1.67,Clay,Urea
72,17,59,32.46,57.61,8.4,1007.55,27.64,0.36,1.84,Loamy,DAP
125,40,42,29.1,32.97,6.63,2990.56,37.35,0.4,1.39,Sandy,NPK
29,48,13,17.24,80.38,8.12,1561.1,36.64,0.91,0.52,Silt,Urea
21,69,66,30.12,84.6,4.83,2759.19,11.78,0.56,1.71,Silt,Urea
21,86,71,18.29,56.98,5.26,1679.32,57.54,0.49,2.93,Sandy,Urea
33,25,111,23.2,43.34,6.26,1313.4,23.77,0.95,2.38,Loamy,Urea
70,32,97,31.29,68.83,6.84,2188.28,10.81,0.68,2.27,Clay,DAP
127,20,104,30.25,37.3,7.76,2883.16,13.82,0.38,1.97,Clay,DAP
68,63,43,22.04,32.45,8.45,1253.06,39.01,0.9,1.11,Sandy,Zinc Sulphate
48,83,43,15.48,47.41,6.06,2621.84,16.89,0.7,0.59,Clay,Urea
130,78,11,24.52,70.79,4.69,2046.91,12.09,1.15,0.75,Loamy,MOP
143,21,52,18.1,78.85,7.7,1260.09,28.98,0.33,0.12,Loamy,DAP
83,45,81,17.66,39.41,6.92,355.36,41.14,1.01,2.05,Sandy,Urea
42,66,58,19.8,86.77,5.29,1071.93,15.59,0.77,2.45,Loamy,Urea
42,35,30,31.19,63.12,6.48,2527.6,25.67,0.73,0.88,Silt,Urea
35,89,21,24.92,85.52,7.47,466.42,30.89,0.5,0.37,Sandy,Urea
63,75,45,21.2,38.99,7.58,1802.1,17.97,0.24,1.07,Loamy,SSP
79,13,10,37.02,57.48,6.5,1633.15,35.3,1.3,0.95,Sandy,DAP
128,25,51,31.2,55.85,5.72,2052.6,14.26,0.62,1.41,Clay,DAP
84,31,112,24.84,54.7,8.39,2829.21,12.33,1.09,0.87,Loamy,DAP
116,73,25,22.64,85.85,7.15,2304.93,35.99,1.43,1.09,Silt,MOP
117,79,58,34.57,80.96,6.13,1629.74,22.39,0.93,2.73,Loamy,NPK
148,20,15,15.19,77.66,5.62,2525.0,14.77,0.72,1.07,Sandy,DAP
31,51,106,29.92,47.17,7.42,2164.67,31.2,0.55,2.38,Sandy,Urea
106,48,116,10.63,50.34,5.47,2707.53,55.76,1.41,1.91,Loamy,Compost
108,56,22,10.21,45.56,5.19,2228.18,46.21,1.09,1.08,Silt,MOP
107,31,54,37.95,77.61,6.62,2308.45,50.78,1.06,2.47,Silt,DAP
157,39,18,25.42,53.57,5.66,435.2,53.6,0.75,1.83,Silt,DAP
149,39,108,19.45,88.72,7.02,210.7,58.63,1.3,0.12,Sandy,DAP
151,42,37,33.84,51.86,4.97,2875.73,48.16,1.13,0.3,Loamy,MOP
129,39,73,39.54,40.19,7.12,905.68,40.42,0.57,2.28,Clay,DAP
60,46,43,11.03,85.79,5.63,662.28,28.27,0.98,1.39,Sandy,NPK
57,62,41,11.14,76.96,4.5,644.41,19.08,0.76,1.28,Silt,Urea
75,39,74,35.64,64.99,5.01,2266.09,44.33,0.21,0.52,Loamy,DAP
43,35,112,26.7,81.51,8.23,329.92,59.75,1.25,0.56,Silt,Urea
112,15,98,36.48,86.97,7.97,2050.87,33.37,0.36,2.41,Clay,DAP
47,63,61,30.84,81.68,5.43,1800.09,46.18,0.86,2.5,Silt,Urea
81,65,83,24.12,84.27,7.61,612.44,34.75,0.64,1.72,Silt,Urea
29,13,75,14.84,46.27,6.93,579.25,31.6,0.64,0.96,Clay,Urea
147,88,13,21.7,60.65,8.38,571.45,30.52,0.82,2.8,Loamy,MOP
48,45,34,33.61,77.72,5.99,926.65,35.23,1.5,1.91,Sandy,Urea
82,72,89,17.02,61.56,7.23,1997.01,28.34,0.73,2.41,Loamy,DAP
106,12,72,31.37,68.51,4.75,779.29,47.44,0.44,0.11,Clay,DAP
26,66,49,17.42,85.37,6.08,2048.21,53.71,1.0,1.41,Silt,Urea
156,89,117,23.91,47.72,8.36,2920.77,54.14,0.51,2.63,Loamy,Zinc Sulphate
39,25,78,12.56,62.36,6.66,2613.87,21.38,0.34,1.08,Sandy,Urea
136,49,65,23.65,63.81,5.65,2434.62,54.8,0.27,2.21,Clay,Compost
111,62,32,28.38,51.57,4.98,2857.58,27.08,0.23,2.01,Loamy,MOP
69,15,93,26.9,52.1,7.31,1914.92,25.47,0.76,0.54,Sandy,DAP
86,30,12,22.19,76.14,7.08,2352.82,46.34,0.75,2.35,Clay,DAP
128,86,74,21.09,85.77,6.0,2367.0,25.23,0.44,0.43,Sandy,Urea
118,18,119,18.26,68.02,8.3,2928.71,12.65,1.22,2.21,Clay,DAP
67,72,60,33.01,59.28,4.59,2012.09,28.68,0.37,2.97,Silt,Compost
47,52,34,33.48,75.02,5.71,964.56,46.07,1.39,2.88,Loamy,Urea
89,81,89,24.49,89.87,8.18,747.89,26.35,0.96,2.42,Sandy,Zinc Sulphate
77,37,50,21.48,34.94,5.78,1058.74,41.48,0.24,1.65,Clay,DAP
29,54,14,29.12,69.09,5.51,2332.91,43.01,1.45,2.06,Sandy,Urea
21,67,109,26.73,63.37,6.64,2038.35,46.69,0.6,2.21,Sandy,Urea
20,38,73,30.02,66.61,7.8,813.91,54.86,0.78,0.12,Loamy,Urea
99,63,15,19.18,31.37,4.91,2607.53,31.63,0.57,0.4,Silt,MOP
109,66,85,33.65,87.34,8.27,2947.74,18.32,1.15,1.83,Sandy,Zinc Sulphate
92,42,55,19.5,35.12,7.68,2320.19,25.95,0.83,0.12,Clay,Urea
32,79,32,22.56,48.45,5.23,373.89,31.61,0.37,2.74,Clay,Urea
90,73,119,13.97,47.9,7.35,1957.12,45.69,0.34,1.52,Silt,DAP
20,13,47,35.66,73.99,6.04,2825.54,10.66,1.14,0.85,Clay,Urea
75,25,14,29.33,70.26,6.11,1076.3,25.79,0.51,1.24,Silt,DAP
23,12,70,17.06,33.7,7.63,1839.21,48.99,0.38,2.57,Clay,Urea
47,72,11,35.55,38.98,8.35,835.56,43.54,0.85,2.79,Loamy,Urea
63,31,12,31.14,49.13,5.01,2665.92,46.59,1.24,0.44,Sandy,DAP
49,27,114,23.27,72.25,6.18,2635.95,50.59,0.56,2.36,Loamy,Urea
55,66,16,39.7,85.75,6.42,1220.47,49.16,0.56,1.78,Sandy,Urea
125,34,99,20.12,48.93,6.01,1179.14,44.11,1.28,1.8,Sandy,DAP
141,37,85,12.99,61.53,5.95,200.28,31.98,0.39,2.36,Sandy,DAP
23,49,59,32.0,52.36,4.71,1088.85,59.18,1.0,0.75,Loamy,Urea
30,32,69,32.71,64.64,7.24,2387.98,38.45,1.44,1.64,Sandy,Urea
72,17,118,11.77,67.68,6.24,280.11,20.14,1.29,1.03,Loamy,DAP
143,22,74,34.58,61.1,5.28,767.69,24.64,0.28,0.37,Silt,DAP
107,53,74,33.28,53.34,7.76,2244.75,44.68,0.62,0.4,Clay,NPK
73,56,106,37.89,82.79,7.71,2014.38,56.24,0.39,0.5,Clay,NPK
103,19,71,13.56,78.12,6.45,2962.63,18.94,1.43,1.88,Sandy,DAP
64,50,63,28.02,89.9,5.69,1293.73,14.12,1.48,0.41,Loamy,NPK
83,76,112,16.58,54.76,7.05,573.19,54.08,0.51,1.75,Clay,SSP
32,83,62,21.98,32.32,5.65,2061.19,55.76,1.07,1.81,Loamy,Urea
71,58,18,17.95,69.08,5.44,421.27,23.82,1.29,2.72,Loamy,MOP
151,73,10,23.48,77.01,7.42,526.91,28.86,0.5,1.92,Sandy,MOP
101,24,24,13.39,86.21,4.66,1790.17,43.01,0.44,2.96,Clay,DAP
126,70,98,19.11,30.62,4.88,1521.53,26.5,0.21,0.19,Sandy,Compost
28,83,117,12.13,82.77,4.53,938.1,53.86,0.74,2.14,Sandy,Urea
131,61,45,24.75,61.0,5.11,1538.31,15.38,1.37,0.18,Clay,Compost
139,55,19,18.9,52.49,4.78,2631.3,11.9,1.37,2.22,Clay,MOP
86,68,59,27.71,43.32,8.48,2229.99,20.42,0.37,1.22,Silt,Zinc Sulphate
101,57,40,23.69,78.85,5.66,1473.44,24.3,0.47,1.87,Silt,NPK
120,48,93,17.32,51.82,5.1,1071.75,15.65,0.73,1.0,Loamy,Compost
139,51,78,13.09,66.27,5.46,1830.12,13.28,1.21,0.56,Clay,Compost
135,60,101,32.6,60.7,8.24,208.02,47.78,1.0,2.2,Silt,Zinc Sulphate
133,59,107,28.99,45.79,6.58,2252.61,18.21,0.87,2.72,Loamy,NPK
152,75,112,10.99,77.27,5.96,2446.85,55.7,0.97,0.63,Loamy,Zinc Sulphate
130,50,111,39.68,47.89,7.99,540.89,28.4,0.33,2.77,Loamy,Zinc Sulphate
78,67,25,29.27,77.24,6.08,1327.35,43.53,0.82,0.51,Silt,MOP
54,13,88,16.22,54.57,5.84,606.2,21.27,1.49,2.23,Clay,Urea
24,58,114,35.21,31.81,5.33,2856.65,22.02,0.31,2.88,Sandy,Urea
69,12,112,36.46,76.05,6.01,2512.77,38.74,0.88,0.53,Loamy,DAP
79,41,51,27.21,83.96,5.77,256.2,38.03,0.58,1.36,Silt,Urea
34,56,35,36.57,37.19,7.21,2917.07,48.44,0.9,1.08,Silt,Urea
127,71,39,10.88,65.11,5.66,597.11,47.89,0.95,1.23,Sandy,MOP
134,25,11,38.36,34.31,6.81,435.22,43.53,0.95,2.28,Sandy,DAP
122,77,76,11.72,79.79,4.76,291.3,32.46,1.31,2.02,Silt,Compost
40,27,92,29.27,89.28,5.27,2413.85,54.53,0.71,2.91,Clay,Urea
21,15,65,20.38,59.7,6.13,2790.73,41.13,0.87,0.64,Sandy,Urea
101,74,33,11.18,48.8,8.25,467.75,59.51,0.21,1.68,Silt,MOP
29,89,76,37.88,80.74,6.01,2953.27,50.97,1.23,1.4,Sandy,Urea
84,46,49,14.06,61.25,7.16,1084.41,12.22,0.54,2.76,Clay,Zinc Sulphate
80,82,72,35.61,56.94,5.52,2100.77,26.03,1.26,0.13,Loamy,MOP
137,72,78,19.91,43.67,5.01,2961.54,38.59,0.55,2.97,Sandy,Compost
153,68,68,32.23,66.96,4.73,223.79,46.07,0.21,1.49,Clay,Compost
37,43,105,17.63,66.38,5.72,1731.0,37.52,0.4,1.91,Silt,Urea
110,46,70,27.5,45.77,5.13,2036.76,49.31,1.48,1.14,Sandy,Compost
131,43,61,33.99,42.68,5.2,1239.81,24.13,0.62,2.57,Sandy,Compost
36,54,104,26.99,56.31,7.54,507.92,19.2,0.34,1.73,Silt,Urea
29,10,85,19.2,57.05,4.56,1939.14,12.7,0.35,2.02,Loamy,Urea
50,62,116,17.0,37.7,6.73,331.6,38.67,0.6,1.98,Silt,Urea
69,71,45,15.24,46.56,6.02,2785.63,44.43,0.25,1.16,Sandy,NPK
142,24,109,35.16,39.62,6.53,1493.78,26.31,0.86,0.32,Silt,DAP
103,60,40,28.33,84.09,6.75,2748.77,40.68,0.48,2.44,Clay,NPK
64,23,106,25.26,34.46,5.75,2542.34,12.61,0.88,0.94,Silt,DAP
158,68,16,17.49,82.73,5.68,210.2,14.96,0.38,2.56,Sandy,MOP
155,61,99,23.01,61.67,7.43,1485.81,45.09,0.76,1.87,Silt,NPK
97,10,99,28.6,69.92,7.99,2685.85,28.4,0.98,1.13,Loamy,DAP
147,84,29,12.16,85.39,5.27,1242.14,43.57,0.28,1.82,Silt,MOP
32,26,107,20.82,51.92,4.89,1105.01,51.59,0.72,1.97,Loamy,Urea
120,65,42,17.19,72.16,8.09,2119.64,52.63,0.59,2.15,Clay,Zinc Sulphate
29,14,92,29.4,70.3,5.9,2174.14,18.61,0.51,2.48,Loamy,Urea
113,26,26,28.19,89.3,6.71,2000.85,34.31,0.99,0.56,Silt,DAP
95,27,116,18.98,32.76,5.94,1217.48,46.7,0.97,2.84,Sandy,DAP
138,64,110,11.25,57.33,5.0,378.15,48.7,1.02,1.29,Loamy,Compost
55,56,15,15.48,89.37,6.86,2784.41,49.23,0.41,2.6,Clay,Urea
23,89,95,14.8,49.67,6.6,1088.2,21.41,0.57,0.74,Loamy,Urea
141,58,111,27.05,87.94,5.31,2427.78,19.63,0.47,0.18,Loamy,Compost
144,32,90,15.08,79.0,6.31,1184.69,39.5,0.9,1.76,Loamy,DAP
113,30,29,24.47,50.36,7.69,1585.28,47.05,0.8,1.04,Clay,DAP
57,38,115,28.44,31.75,6.86,1246.28,25.96,0.63,2.95,Silt,Urea
95,69,51,36.39,46.82,4.89,427.71,15.24,1.22,0.4,Loamy,Compost
58,55,72,17.35,37.42,6.69,1122.45,45.84,0.32,0.24,Loamy,Urea
108,19,50,15.58,55.71,7.31,2875.9,24.98,1.47,0.23,Sandy,DAP
73,62,99,15.2,86.37,7.67,508.94,18.32,0.35,0.73,Clay,SSP
81,16,101,20.81,60.76,7.02,1756.36,17.39,1.2,1.78,Loamy,DAP
38,39,118,29.48,56.85,5.11,2911.54,25.75,0.68,1.57,Clay,Urea
21,64,81,30.16,42.95,7.34,257.43,39.63,1.32,1.12,Loamy,Urea
113,74,116,16.33,67.29,7.21,393.73,27.92,0.3,0.36,Silt,NPK
76,30,16,13.94,57.32,4.6,2745.53,11.03,0.69,0.78,Silt,DAP
119,16,80,23.46,76.36,6.15,2259.57,14.85,0.64,0.63,Loamy,DAP
22,53,38,14.24,60.97,5.83,1726.9,24.53,1.49,2.26,Silt,Urea
42,77,76,34.39,83.19,7.18,1702.6,42.99,1.48,2.36,Loamy,Urea
23,24,25,12.52,76.98,5.36,2929.68,14.93,0.45,2.35,Silt,Urea
97,11,86,32.56,38.7,6.86,258.67,38.03,1.02,2.91,Sandy,DAP
89,12,59,11.28,38.16,8.15,957.33,15.99,0.9,2.66,Sandy,DAP
26,57,91,34.21,31.46,7.69,1087.11,20.58,0.4,1.54,Sandy,Urea
20,77,53,28.81,52.14,8.19,534.58,18.61,0.42,1.3,Clay,Urea
107,56,86,19.67,33.28,8.41,1200.23,13.36,1.49,2.76,Clay,Zinc Sulphate
29,52,40,22.17,57.0,4.54,1237.15,43.57,0.79,1.87,Sandy,Urea
138,36,76,30.21,44.48,6.99,2884.64,33.17,0.36,0.95,Clay,DAP
153,13,103,15.57,59.89,6.15,1437.66,51.55,0.48,1.74,Silt,DAP
129,45,12,36.71,39.5,7.94,2817.36,14.94,0.55,2.98,Loamy,MOP
144,89,99,24.49,62.95,5.51,2468.1,17.24,0.86,2.56,Loamy,Compost
64,61,75,32.8,87.99,8.42,2263.15,25.32,0.64,0.92,Loamy,Zinc Sulphate
159,54,112,25.2,68.23,6.95,1125.47,48.29,0.79,2.86,Sandy,NPK
